ID,Name,V(λ) Reflectance,M(λ) Reflectance,M/P Ratio,L*,a*,b*,R_reflectance,G_reflectance,B_reflectance,Specularity,Roughness
00087,"Grey Nonscratch Floor","","","1.01","68.57","-0.64","-0.05","37.49%","38.22%","38.03%","1.12%","0.20"
00088,"Wooden Textured Table Top","","","0.69","65.71","6.44","23.89","46.28%","32.54%","15.80%","2.00%","0.20"
00089,"Green Foam","","","1.18","82.44","-14.28","-5.59","39.84%","64.25%","67.24%","3.68%","0.20"
00090,"White Styrofoam","","","1.00","93.44","0.10","-0.17","83.93%","83.84%","84.10%","0.54%","0.20"
00091,"Bristol Board","","","1.03","96.33","1.45","-3.61","91.14%","89.60%","97.01%","0.74%","0.20"
00092,"Wood Table","","","0.59","61.79","13.07","28.29","46.28%","26.18%","10.43%","2.01%","0.20"
00093,"Hospital Floor","","","0.93","80.49","1.37","6.79","61.74%","56.72%","48.91%","1.33%","0.10"
00094,"Grey Stainless Steel Table Leg","","","0.98","65.52","-0.15","1.78","33.73%","33.35%","31.64%","2.18%","0.05"
00095,"Chair Cushion","","","0.61","53.41","10.95","23.24","31.84%","18.59%","8.07%","1.51%","0.20"
00096,"White Plastic Chair","","","0.90","84.71","-1.37","11.62","68.91%","66.19%","50.61%","0.89%","0.20"
00097,"Window Mullion","","","1.01","51.69","-0.45","-0.22","16.60%","17.13%","17.09%","3.45%","0.10"
00098,"Offwhite Plaster Wall","","","0.93","93.18","0.53","6.78","87.84%","83.55%","72.93%","0.43%","0.20"
00099,"Interior Light Shelf","","","0.98","76.73","-0.37","2.42","48.81%","48.45%","45.33%","5.58%","0.05"
00100,"Hospital Toilet Door","","","0.61","66.34","12.50","29.45","54.50%","32.44%","13.90%","1.01%","0.20"
00101,"Hospital Table Top","","","0.65","65.87","10.87","27.71","51.90%","32.00%","14.48%","1.16%","0.20"
00102,"Hospital Table Stand","","","0.99","38.80","-0.79","0.38","8.63%","9.13%","8.79%","1.73%","0.20"
00103,"Blue Mattress","","","1.41","68.66","-3.85","-22.61","26.84%","38.45%","63.43%","0.11%","0.20"
00104,"Beige Curtain","","","0.90","79.94","1.31","13.82","64.76%","55.61%","41.38%","0.47%","0.20"
00105,"Hospital Cabinet","","","0.94","72.46","-0.41","5.46","45.31%","44.13%","38.26%","1.06%","0.20"
00106,"Bedsheets","","","1.14","85.90","3.91","-14.35","65.09%","64.97%","89.04%","0.67%","0.20"
00107,"Motech Im60 Solar Panel Cell","","","1.18","29.96","1.04","-7.73","5.61%","6.05%","8.55%","4.11%","0.00"
00108,"Motech Im60 White Strips","","","1.00","67.01","-0.47","0.89","36.55%","36.79%","35.80%","4.40%","0.00"
00109,"Motech Im60 Silver Strips","","","1.00","63.27","-0.03","-0.20","31.82%","31.92%","32.02%","21.10%","0.00"
00110,"Motech Im60 Frame","","","1.01","85.25","-1.45","0.57","64.87%","67.13%","65.71%","3.99%","0.10"
00111,"Sunpower E20 Solar Panel Cell","","","1.16","23.45","1.06","-6.28","3.60%","3.83%","5.32%","2.99%","0.00"
00112,"Sunpower E20 White Diamond","","","0.99","69.42","-0.37","0.90","39.91%","40.07%","39.02%","3.18%","0.00"
00113,"Sunpower E20 Frame","","","1.00","25.99","0.21","0.04","4.79%","4.73%","4.73%","0.62%","0.10"
00114,"Stainless Steel Sink","","","0.95","71.27","-0.21","4.47","39.37%","37.34%","32.81%","8.21%","0.05"
00115,"Red Brick","","","0.66","43.01","13.04","14.94","22.44%","10.98%","7.53%","0.00%","0.30"
00116,"Greenish Grass","","","0.66","38.60","-9.18","20.51","9.77%","11.26%","4.11%","0.00%","0.20"
00117,"New Black Asphalt","","","0.98","24.21","0.24","0.76","4.29%","4.14%","4.01%","0.00%","0.30"
00118,"Old Black Asphalt","","","0.87","41.71","-0.07","7.07","12.28%","10.85%","8.10%","1.52%","0.30"
00119,"Aged Redwood","","","0.86","35.21","0.36","6.72","9.72%","8.48%","6.51%","0.00%","0.30"
00120,"Stop Sign (Red)","","","0.41","38.23","44.14","21.97","33.26%","1.45%","1.99%","2.14%","0.05"
00121,"Stop Sign (White)","","","0.99","79.56","-2.06","2.55","52.73%","54.64%","50.85%","4.24%","0.05"
00122,"Wooden Telephone Pole","","","0.84","38.66","-0.14","8.08","11.74%","10.37%","7.62%","0.00%","0.30"
00123,"New White Street Paint","","","0.91","83.87","-2.58","10.47","66.06%","64.18%","50.89%","0.55%","0.20"
00124,"Old White Street Paint","","","0.88","68.61","-0.69","11.14","42.60%","38.63%","29.32%","0.00%","0.20"
00125,"Blue Mailbox","","","1.39","31.26","0.82","-12.91","1.21%","3.16%","7.55%","3.82%","0.10"
00126,"Old Yellow Streed Paint","","","0.42","63.07","7.28","47.76","50.54%","28.72%","5.32%","0.00%","0.20"
00127,"Stop Sign Back (Brown)","","","0.74","38.41","3.73","12.00","13.75%","9.70%","6.34%","0.00%","0.20"
00128,"Stop Sign Back (Metal)","","","0.97","77.17","-0.41","3.04","49.83%","48.70%","45.13%","6.10%","0.20"
00129,"Concrete Street Curb","","","0.87","45.96","-0.64","7.99","16.62%","15.20%","11.58%","0.00%","0.30"
00130,"Aged Galvanized Steel","","","1.02","54.26","-1.98","-0.22","20.37%","22.18%","21.89%","0.57%","0.20"
00131,"Dupont Light Red 1","","","0.38","56.88","46.69","29.43","71.59%","12.40%","9.75%","0.00%","0.00"
00132,"Dupont Red 2","","","0.10","34.07","57.93","48.08","37.82%","0.00%","0.02%","0.00%","0.00"
00133,"Dupont Dark Red 3","","","0.13","25.02","47.56","32.80","20.67%","0.00%","0.34%","0.00%","0.00"
00134,"Dupont Sky Blue 4","","","1.78","62.91","-11.06","-29.81","8.45%","35.37%","60.75%","0.00%","0.00"
00135,"Dupont Blue 5","","","2.53","44.47","-7.49","-34.68","0.00%","16.14%","36.39%","0.00%","0.00"
00136,"Dupont Orange 6","","","0.14","48.65","55.19","58.52","64.07%","5.13%","0.18%","0.00%","0.00"
00137,"Dupont Red 7","","","0.12","35.52","58.18","47.10","40.27%","0.25%","0.19%","0.00%","0.00"
00138,"Dupont Maroon 8","","","0.23","18.20","39.81","21.41","11.88%","0.00%","0.49%","0.00%","0.00"
00139,"Dupont Blue 9","","","1.79","62.80","-21.29","-23.64","3.78%","37.32%","53.36%","0.00%","0.00"
00140,"Dupont Blue 10","","","2.79","44.37","0.07","-43.42","0.00%","15.26%","44.05%","0.00%","0.00"
00141,"Dupont Red 11","","","0.09","40.32","61.72","54.15","51.44%","0.71%","0.00%","0.00%","0.00"
00142,"Dupont Red 12","","","0.11","39.10","63.23","53.40","50.06%","0.10%","0.00%","0.00%","0.00"
00143,"Dupont Dark Maroon 13","","","0.39","11.80","28.55","8.51","5.52%","0.21%","0.73%","0.00%","0.00"
00144,"Dupont Sky Blue 14","","","1.88","57.48","-8.98","-31.27","6.00%","28.43%","52.76%","0.00%","0.00"
00145,"Dupont Dark Blue 15","","","2.73","28.51","3.52","-35.56","0.08%","5.91%","19.55%","0.00%","0.00"
00146,"Dupont Orange Red 16","","","0.11","43.71","58.63","56.45","56.12%","2.39%","0.00%","0.00%","0.00"
00147,"Dupont Red 17","","","0.09","34.50","58.42","48.19","38.78%","0.00%","0.04%","0.00%","0.00"
00148,"Dupont Fuschia 18","","","0.96","26.38","42.74","-12.08","16.54%","1.06%","8.37%","0.00%","0.00"
00149,"Dupont Blue 19","","","2.34","34.41","-1.48","-32.35","0.64%","8.95%","23.15%","0.00%","0.00"
00150,"Dupont Dark Blue Grey 20","","","2.38","30.90","12.13","-37.15","2.93%","6.08%","22.71%","0.00%","0.00"
00151,"Dupont Red Orange 21","","","0.09","39.17","62.48","53.34","49.69%","0.27%","0.00%","0.00%","0.00"
00152,"Dupont Dark Red Orange 22","","","0.13","32.30","55.93","43.03","33.86%","0.00%","0.24%","0.00%","0.00"
00153,"Dupont Pale Blue 23","","","1.23","80.39","-8.44","-10.04","40.83%","61.02%","69.89%","0.00%","0.00"
00154,"Dupont Aquamarine 24","","","2.07","56.61","-16.76","-31.70","0.13%","29.04%","51.67%","0.00%","0.00"
00155,"Dupont Dark Blue 25","","","3.24","16.11","8.82","-32.50","0.00%","2.01%","9.46%","0.00%","0.00"
00156,"Dupont Red 26","","","0.10","37.27","60.34","51.49","44.75%","0.24%","0.00%","0.00%","0.00"
00157,"Dupont Red 27","","","0.11","32.06","55.64","43.75","33.39%","0.00%","0.17%","0.00%","0.00"
00158,"Dupont Pale Blue Sky 28","","","1.51","70.37","-11.62","-21.55","18.53%","45.66%","64.84%","0.00%","0.00"
00159,"Dupont Darker Blue 29","","","2.79","37.59","-0.14","-38.31","0.00%","10.69%","30.64%","0.00%","0.00"
00160,"Dupont Royal Blue 30","","","4.30","10.51","12.19","-31.70","0.00%","1.01%","6.52%","0.00%","0.00"
00161,"Dupont Orange Red 31","","","0.12","33.46","57.31","42.20","36.31%","0.00%","0.41%","0.00%","0.00"
00162,"Dupont Dark Red 32","","","0.15","28.21","51.29","34.98","25.88%","0.00%","0.48%","0.00%","0.00"
00163,"Dupont Sky Blue 33","","","1.57","67.56","-10.07","-23.84","16.15%","41.17%","62.31%","0.00%","0.00"
00164,"Dupont Blue 34","","","2.41","45.28","-5.73","-37.37","0.00%","16.60%","39.82%","0.00%","0.00"
00165,"Dupont Very Dark Blue 35","","","2.39","7.51","7.05","-19.57","0.39%","0.74%","3.01%","0.00%","0.00"
00166,"Dupont Very Dark Blue 36","","","2.56","4.45","3.86","-15.19","0.19%","0.45%","1.78%","0.00%","0.00"
00167,"Dupont Teal 37","","","1.48","50.76","-35.86","1.00","0.00%","24.82%","18.16%","0.00%","0.00"
00168,"Dupont Light Teal 38","","","0.90","76.97","-34.57","30.08","26.85%","61.65%","23.35%","0.00%","0.00"
00169,"Dupont Green 39","","","0.58","70.99","-34.37","62.64","28.00%","50.37%","2.66%","0.00%","0.00"
00170,"Dupont Pale Yellow 40","","","0.56","77.90","-5.71","50.11","65.55%","53.47%","11.97%","0.00%","0.00"
00171,"Dupont Very Dark Green 41","","","0.76","13.68","-8.46","10.60","1.17%","1.92%","0.69%","0.00%","0.00"
00172,"Dupont Dark Green 42","","","0.65","34.45","-15.20","29.41","6.45%","9.44%","1.42%","0.00%","0.00"
00173,"Dupont Light Pale Yellow 43","","","0.72","79.88","-10.01","28.30","57.35%","59.06%","28.26%","0.00%","0.00"
00174,"Dupont Light Desaturated Green 44","","","0.66","50.87","-6.19","25.39","20.91%","19.82%","7.50%","0.00%","0.00"
00175,"Dupont Desaturated Yellow 45","","","0.59","77.64","-3.20","43.46","66.20%","52.30%","15.62%","0.00%","0.00"
00176,"Dupont Very Dark Green 46","","","1.51","11.68","-13.03","-0.28","0.12%","1.73%","1.37%","0.00%","0.00"
00177,"Dupont Green 47","","","0.80","43.84","-22.31","24.76","7.86%","16.38%","4.69%","0.00%","0.00"
00178,"Dupont Pale Green 48","","","0.83","83.08","-15.71","24.80","54.59%","67.35%","35.03%","0.00%","0.00"
00179,"Dupont Light Forest Green 49","","","0.53","58.17","-14.05","41.95","25.87%","28.36%","5.01%","0.00%","0.00"
00180,"Dupont Dark Yellow 50","","","0.34","56.77","2.79","58.78","38.12%","23.12%","0.57%","0.00%","0.00"
00181,"Dupont Dark Green 51","","","1.32","17.79","-17.73","3.91","0.27%","3.19%","1.89%","0.00%","0.00"
00182,"Dupont Dark Green 52","","","1.17","24.15","-26.60","10.60","0.00%","5.58%","2.19%","0.00%","0.00"
00183,"Dupont Light Teal 53","","","1.00","54.21","-44.37","28.14","2.92%","29.36%","7.75%","0.00%","0.00"
00184,"Dupont Yellow Green 54","","","0.69","73.10","-23.74","49.31","37.91%","51.18%","9.07%","0.00%","0.00"
00185,"Dupont Yellow 55","","","0.47","83.93","-8.07","70.13","80.54%","64.89%","5.50%","0.00%","0.00"
00186,"Dupont Forest Green 56","","","0.74","29.61","-7.96","14.10","5.37%","6.61%","2.91%","0.00%","0.00"
00187,"Dupont Saturated Green 57","","","1.21","43.80","-42.20","22.00","0.00%","18.62%","5.31%","0.00%","0.00"
00188,"Dupont Bright Yellow Green 58","","","0.56","63.07","-43.70","64.41","13.42%","40.29%","0.00%","0.00%","0.00"
00189,"Dupont Yellow 59","","","0.48","79.75","-13.01","61.97","63.47%","59.07%","7.01%","0.00%","0.00"
00190,"Dupont Dark Yellow 60","","","0.30","73.54","-1.00","75.85","66.59%","44.52%","0.00%","0.00%","0.00"
00191,"Dupont Dark Green 61","","","1.10","27.60","-31.01","16.69","0.00%","7.23%","1.96%","0.00%","0.00"
00192,"Dupont Dark Green 62","","","0.81","33.79","-31.17","23.43","1.40%","10.42%","2.15%","0.00%","0.00"
00193,"Dupont Yellow Green 63","","","0.65","63.12","-42.29","53.74","13.09%","40.20%","2.79%","0.00%","0.00"
00194,"Dupont Very Light Yellow 64","","","0.77","90.35","-11.21","29.93","77.39%","80.70%","40.04%","0.00%","0.00"
00195,"Dupont Yellow 65","","","0.42","84.12","-5.28","71.48","85.00%","64.12%","5.05%","0.00%","0.00"
00196,"Dupont Dark Teal 66","","","1.37","54.07","-43.09","11.37","0.00%","29.30%","15.10%","0.00%","0.00"
00197,"Dupont Green 67","","","0.80","40.06","-38.82","32.34","1.40%","15.18%","1.88%","0.00%","0.00"
00198,"Dupont Yellow Green 68","","","0.62","64.20","-44.02","56.10","13.08%","42.07%","2.40%","0.00%","0.00"
00199,"Dupont Yellow 69","","","0.55","81.37","-8.06","57.70","71.87%","60.30%","10.13%","0.00%","0.00"
00200,"Dupont Yellow 70","","","0.40","80.76","-2.44","80.31","82.04%","56.71%","0.49%","0.00%","0.00"
00201,"Dupont Dark Yellow 71","","","0.25","78.39","7.55","80.58","88.78%","48.93%","0.00%","0.00%","0.00"
00202,"Dupont Dark Yellow 72","","","0.20","75.82","15.12","78.99","91.34%","42.20%","0.00%","0.00%","0.00"
00203,"Dupont Orange 73","","","0.11","46.81","47.22","57.56","53.92%","6.16%","0.00%","0.00%","0.00"
00204,"Dupont Neutral Clay 74","","","0.66","61.71","2.14","24.55","39.28%","28.91%","14.34%","0.00%","0.00"
00205,"Dupont Off White 75","","","0.86","75.30","-1.36","12.85","53.18%","48.73%","36.08%","0.00%","0.00"
00206,"Dupont Yellow 76","","","0.26","78.87","1.35","80.54","82.20%","52.05%","0.00%","0.00%","0.00"
00207,"Dupont Dark Yellow 77","","","0.18","69.97","23.50","74.72","85.52%","31.49%","0.00%","0.00%","0.00"
00208,"Dupont Red Orange 78","","","0.12","38.76","47.44","50.94","39.40%","2.99%","0.00%","0.00%","0.00"
00209,"Dupont Dark Desaturated Yellow 79","","","0.34","58.74","11.11","57.40","47.61%","23.10%","1.36%","0.00%","0.00"
00210,"Dupont White 80","","","0.88","90.51","-2.28","12.94","82.14%","77.78%","59.81%","0.00%","0.00"
00211,"Dupont Yellow 81","","","0.34","80.66","-2.89","81.75","81.44%","56.68%","0.00%","0.00%","0.00"
00212,"Dupont Yellow Orange 82","","","0.17","68.07","25.71","73.30","83.02%","28.55%","0.00%","0.00%","0.00"
00213,"Dupont Brown 83","","","0.47","20.54","10.15","16.54","6.12%","2.45%","1.00%","0.00%","0.00"
00214,"Dupont Yellow 84","","","0.21","68.57","14.42","72.79","71.88%","32.81%","0.00%","0.00%","0.00"
00215,"Dupont Bright White 85","","","0.97","90.69","-2.51","4.88","77.18%","78.70%","70.79%","0.00%","0.00"
00216,"Dupont Yellow 86","","","0.43","87.41","-7.59","77.74","91.46%","71.50%","3.74%","0.00%","0.00"
00217,"Dupont Orange 87","","","0.15","62.52","37.06","69.65","80.87%","19.32%","0.00%","0.00%","0.00"
00218,"Dupont Dark Brown 88","","","0.63","18.57","4.80","11.06","4.12%","2.35%","1.26%","0.00%","0.00"
00219,"Dupont Yolk Yellow 89","","","0.44","70.75","5.42","54.40","64.38%","38.72%","6.18%","0.00%","0.00"
00220,"Dupont Off White 90","","","0.87","90.67","-1.96","13.36","83.25%","77.95%","59.57%","0.00%","0.00"
00221,"Dupont Yellow 91","","","0.47","86.48","-8.31","71.05","86.62%","70.02%","6.34%","0.00%","0.00"
00222,"Dupont Orange 92","","","0.16","54.23","43.29","63.31","66.65%","11.21%","0.00%","0.00%","0.00"
00223,"Dupont Light Brown 93","","","0.36","32.37","17.48","30.02","16.26%","5.18%","1.20%","0.00%","0.00"
00224,"Dupont Yellow 94","","","0.59","81.53","-5.52","47.85","72.77%","59.86%","15.95%","0.00%","0.00"
00225,"Dupont White 95","","","0.93","93.35","-0.87","6.99","87.23%","83.80%","73.41%","0.00%","0.00"
00226,"Dupont Yellow 96","","","0.57","88.56","-9.23","55.18","86.12%","75.08%","16.87%","0.00%","0.00"
00227,"Dupont Orange 97","","","0.14","56.23","47.90","65.48","75.72%","11.24%","0.00%","0.00%","0.00"
00228,"Dupont Light Brown 98","","","0.63","50.90","8.30","21.15","29.18%","17.22%","9.22%","0.00%","0.00"
00229,"Dupont Pale Yellow 99","","","0.71","86.83","-3.58","31.88","81.46%","69.78%","33.62%","0.00%","0.00"
00230,"Dupont Off White 100","","","0.90","92.99","-2.85","12.00","86.41%","83.64%","65.71%","0.00%","0.00"
00231,"Dupont Pale Yellow 101","","","0.69","90.24","-8.60","38.49","84.90%","78.97%","31.75%","0.00%","0.00"
00232,"Dupont Saturated Orange 102","","","0.13","50.89","47.29","60.96","62.58%","8.20%","0.00%","0.00%","0.00"
